Time (s),Channel 1 (V)
-0.005119222972972974,0.494030745744776
-0.005117972972972973,0.4815597822607122
-0.005116722972972973,0.4856044190663567
-0.005115472972972973,0.4906602150734074
-0.005114222972972973,0.4825709414621228
-0.005112972972972973,0.467066500373827
-0.005111722972972973,0.4488656347484364
-0.005110472972972973,0.4505509000841199
-0.005109222972972973,0.4559437491583106
-0.005107972972972973,0.4468433163456125
-0.005106722972972973,0.4407763611371517
-0.005105472972972973,0.4360576181972312
-0.005104222972972973,0.4262830792502666
-0.005102972972972973,0.4148232749676133
-0.005101722972972973,0.4154973811018871
-0.005100472972972973,0.4121268504305183
-0.005099222972972973,0.3996558869464601
-0.005097972972972973,0.3932518786708541
-0.005096722972972973,0.3912295602680307
-0.005095472972972973,0.3865108173281168
-0.005094222972972973,0.3824661805224697
-0.005092972972972973,0.3720175354412317
-0.005091722972972973,0.3605577311585784
-0.005090472972972973,0.3568501474200746
-0.005089222972972973,0.3531425636815674
-0.005087972972972974,0.3450532900702863
-0.005086722972972973,0.3464015023388302
-0.005085472972972973,0.3551648820843803
-0.005084222972972973,0.336964016458998
-0.005082972972972973,0.3153926201622388
-0.005081722972972973,0.3214595753707022
-0.005080472972972973,0.3241559999077972
-0.005079222972972973,0.3079774526852352
-0.005077972972972973,0.2985399668053956
-0.005076722972972974,0.2998881790739424
-0.005075472972972973,0.297528807603985
-0.005074222972972973,0.2901136401269664
-0.005072972972972973,0.2732609867701309
-0.005071722972972973,0.2715757214344465
-0.005070472972972973,0.2813502603814156
-0.005069222972972973,0.2668569784945305
-0.005067972972972973,0.2483190598020115
-0.005066722972972973,0.2537119088761929
-0.005065472972972973,0.2591047579503831
-0.005064222972972973,0.2601159171517933
-0.005062972972972973,0.2513525374062248
-0.005061722972972973,0.2294440880423387
-0.005060472972972973,0.2216918674981909
-0.005059222972972973,0.2240512389681489
-0.005057972972972973,0.2227030266996015
-0.005056722972972973,0.2179842837596875
-0.005055472972972973,0.2173101776254117
-0.005054222972972973,0.2061874264098849
-0.005052972972972973,0.1836048709117254
-0.005051722972972973,0.1798972871732237
-0.005050472972972973,0.1883236138516415
-0.005049222972972973,0.1856271893145466
-0.005047972972972973,0.1748414911661719
-0.005046722972972973,0.1647298991520611
-0.005045472972972974,0.1583258908764636
-0.005044222972972973,0.1458549273923967
-0.005042972972972973,0.1414732375196192
-0.005041722972972973,0.145180821258123
-0.005040472972972973,0.1401250252510701
-0.005039222972972973,0.1343951231097434
-0.005037972972972973,0.1370915476468383
-0.005036722972972973,0.1256317433641902
-0.005035472972972973,0.1013639225303308
-0.005034222972972974,0.0959710734561435
-0.005032972972972973,0.09664517959041477
-0.005031722972972973,0.0723773587565559
-0.005030472972972973,0.0619287136753179
-0.005029222972972973,0.08046663236784535
-0.005027972972972973,0.07878136703216104
-0.005026722972972973,0.059232289138223
-0.005025472972972973,0.04709837872130145
-0.005024222972972973,0.0474354317884328
-0.005022972972972973,0.04945775019125198
-0.005021722972972973,0.04507606031847475
-0.005020472972972973,0.04103142351282597
-0.005019222972972973,0.02687519469308416
-0.005017972972972973,0.006989063732009257
-0.005016722972972973,0.008337276000556709
-0.005015472972972973,0.01271896587333592
-0.005014222972972973,-0.004807793617772971
-0.005012972972972973,-0.0196381285718029
-0.005011722972972973,-0.02267160617603253
-0.005010472972972973,-0.01795286323611859
-0.005009222972972973,-0.02031223470607832
-0.005007972972972973,-0.02401981844458212
-0.005006722972972973,-0.0260421368474033
-0.005005472972972973,-0.04390594940565703
-0.005004222972972973,-0.06109565582963703
-0.005002972972972974,-0.06851082330664464
-0.005001722972972973,-0.06952198250805861
-0.005000472972972973,-0.07356661931369804
-0.004999222972972973,-0.06716261103810056
-0.004997972972972973,-0.06446618650100566
-0.004996722972972973,-0.0786224153207539
-0.004995472972972973,-0.08738579506631233
-0.004994222972972973,-0.08704874199917563
-0.004992972972972973,-0.09244159107336528
-0.004991722972972974,-0.1025531830874666
-0.004990472972972973,-0.1150241465715351
-0.004989222972972973,-0.1177205711086291
-0.004987972972972973,-0.1156982527058088
-0.004986722972972973,-0.132550906062652
-0.004985472972972973,-0.1534481962251374
-0.004984222972972973,-0.1463700818152633
-0.004982972972972973,-0.1389549143382557
-0.004981722972972973,-0.1463700818152633
-0.004980472972972973,-0.1547964084936923
-0.004979222972972973,-0.1709749557162543
-0.004977972972972973,-0.1790642293275392
-0.004976722972972973,-0.1794012823946759
-0.004975472972972973,-0.1780530701261284
-0.004974222972972973,-0.179064229327539
-0.004972972972972973,-0.1817606538646339
-0.004971722972972973,-0.1949057234829656
-0.004970472972972973,-0.2218699688539206
-0.004969222972972973,-0.2235552341895992
-0.004967972972972973,-0.211084270705541
-0.004966722972972973,-0.2228811280553375
-0.004965472972972973,-0.2367003038079426
-0.004964222972972973,-0.2353520915393951
-0.004962972972972973,-0.2414190467478586
-0.004961722972972973,-0.2629904430446178
-0.004960472972972974,-0.2781578310657699
-0.004959222972972973,-0.2815283617371453
-0.004957972972972973,-0.2683832921188044
-0.004956722972972973,-0.2613051777089336
-0.004955472972972973,-0.2670350798502602
-0.004954222972972973,-0.2835506801399665
-0.004952972972972973,-0.3095037663095049
-0.004951722972972973,-0.3098408193766416
-0.004950472972972973,-0.3030997580339045
-0.004949222972972974,-0.3071443948395451
-0.004947972972972973,-0.3179300929879265
-0.004946722972972973,-0.3374791708818668
-0.004945472972972973,-0.3425349668889175
-0.004944222972972973,-0.3401755954189595
-0.004942972972972973,-0.3391644362175489
-0.004941722972972973,-0.3401755954189595
