Time (s),Channel 1 (V)
-0.005119861111111111,0.6497492627620067
-0.005118611111111111,0.6470528382249118
-0.005117361111111111,0.6457046259563611
-0.005116111111111111,0.6386265115464902
-0.005114861111111111,0.6281778664652474
-0.005113611111111111,0.6200885928539628
-0.005112361111111111,0.622110911256784
-0.005111111111111111,0.6214368051225105
-0.005109861111111111,0.6089658416384462
-0.005108611111111111,0.5951466658858328
-0.005107361111111111,0.5904279229459188
-0.005106111111111111,0.5958207720201115
-0.005104861111111111,0.602224780295709
-0.005103611111111111,0.5927872944158769
-0.005102361111111111,0.5779569594618549
-0.005101111111111111,0.5648118898435173
-0.005099861111111111,0.5496445018223654
-0.005098611111111111,0.5543632447622745
-0.005097361111111111,0.5678453674477374
-0.005096111111111111,0.5422293343453475
-0.005094861111111111,0.5358253260697483
-0.005093611111111111,0.5385217506068419
-0.005092361111111111,0.5270619463241887
-0.005091111111111111,0.5162762481758139
-0.005089861111111111,0.5091981337659349
-0.005088611111111111,0.5044793908260209
-0.005087361111111111,0.5044793908260188
-0.005086111111111111,0.4940307457447699
-0.005084861111111111,0.4805486230593016
-0.005083611111111111,0.4785263046564804
-0.005082361111111111,0.4765039862536592
-0.005081111111111111,0.4734705086494274
-0.005079861111111111,0.4630218635681894
-0.005078611111111111,0.4492026878155733
-0.005077361111111111,0.4424616264728391
-0.005076111111111111,0.440102255002878
-0.005074861111111111,0.4414504672714196
-0.005073611111111111,0.4286424507202247
-0.005072361111111111,0.4111156912291077
-0.005071111111111111,0.4161714872361607
-0.005069861111111111,0.4087563197591497
-0.005068611111111111,0.392240719469451
-0.005067361111111111,0.3760621722468741
-0.005066111111111111,0.3814550213210655
-0.005064861111111111,0.3848255519924325
-0.005063611111111111,0.3831402866567494
-0.005062361111111111,0.3858367111938431
-0.005061111111111111,0.3716804823740948
-0.005059861111111111,0.3511202452787462
-0.005058611111111111,0.3362899103247242
-0.005057361111111111,0.3393233879289546
-0.005056111111111111,0.3464015023388302
-0.005054861111111111,0.3423568655331855
-0.005053611111111111,0.3373010695261348
-0.005052361111111111,0.3170778854979118
-0.005051111111111111,0.2924730115969321
-0.005049861111111111,0.3012363913424905
-0.005048611111111111,0.2965176484025766
-0.005047361111111111,0.2850578441199211
-0.005046111111111111,0.2837096318513743
-0.005044861111111111,0.2826984726499631
-0.005043611111111111,0.2712386683673025
-0.005042361111111111,0.2553971742118771
-0.005041111111111111,0.2452855821977713
-0.005039861111111111,0.2449485291306344
-0.005038611111111111,0.2483190598020031
-0.005037361111111111,0.2311293533780309
-0.005036111111111111,0.2075356386784426
-0.005034861111111111,0.2018057365371186
-0.005033611111111111,0.2149508061554536
-0.005032361111111111,0.205176267208478
-0.005031111111111111,0.1906829853215995
-0.005029861111111111,0.1765267565018513
-0.005028611111111111,0.1633816868835136
-0.005027361111111111,0.1579888378093238
-0.005026111111111111,0.1509107233994529
-0.005024861111111111,0.1384397599153858
-0.005023611111111111,0.1465290335266682
-0.005022361111111111,0.1414732375196175
-0.005021111111111111,0.1202388942899938
-0.005019861111111111,0.1172054166857634
-0.005018611111111111,0.1141719390815316
-0.005017361111111111,0.1091161430744787
-0.005016111111111111,0.09833044492609909
-0.005014861111111111,0.08215189770353702
-0.005013611111111111,0.0791184200992979
-0.005012361111111111,0.09226348971762344
-0.005011111111111111,0.06563629741382339
-0.005009861111111111,0.04979480325839222
-0.005008611111111111,0.0528282808626226
-0.005007361111111111,0.05080596245980142
-0.005006111111111111,0.04608721951988534
-0.005004861111111111,0.03664973364005319
-0.005003611111111111,0.02013413335035442
-0.005002361111111111,0.01305601894047279
-0.005001111111111111,0.008337276000556096
-0.004999861111111111,0.006989063732009257
-0.004998611111111111,0.0002480023892720007
-0.004997361111111111,-0.01525643869902369
-0.004996111111111111,-0.02435687151171899
-0.004994861111111111,-0.008178324289156928
-0.004993611111111111,-0.0196381285718029
-0.004992361111111111,-0.03885015339859535
-0.004991111111111111,-0.04424300247279389
-0.004989861111111111,-0.04761353314416482
-0.004988611111111111,-0.05266932915121546
-0.004987361111111111,-0.06615145183668998
-0.004986111111111111,-0.08805990120058606
-0.004984861111111111,-0.09547506867759704
-0.004983611111111111,-0.09648622787900717
-0.004982361111111111,-0.102890236154608
-0.004981111111111111,-0.1089571913630755
-0.004979861111111111,-0.11772057110863
-0.004978611111111111,-0.1237875263170972
-0.004977361111111111,-0.1318767999283782
-0.004976111111111111,-0.1399660735396629
-0.004974861111111111,-0.1443477634124422
-0.004973611111111111,-0.161874522903559
-0.004972361111111111,-0.1719861149176603
-0.004971111111111111,-0.1750195925218967
-0.004969861111111111,-0.1891758213416429
-0.004968611111111111,-0.1847941314688657
-0.004967361111111111,-0.1878276090731089
-0.004966111111111111,-0.2131065891083622
-0.004964861111111111,-0.2158030136454571
-0.004963611111111111,-0.2151289075111834
-0.004962361111111111,-0.2218699688539206
-0.004961111111111111,-0.2360261976736624
-0.004959861111111111,-0.2447895774192273
-0.004958611111111111,-0.2522047448962387
-0.004957361111111111,-0.2532159040976488
-0.004956111111111111,-0.262653389977481
-0.004954861111111111,-0.2714167697230394
-0.004953611111111111,-0.2731020350587238
-0.004952361111111111,-0.283213627072825
-0.004951111111111111,-0.2913029006841144
-0.004949861111111111,-0.2913029006841144
-0.004948611111111111,-0.2966957497583042
-0.004947361111111111,-0.2990551212282649
-0.004946111111111111,-0.3051220764367257
-0.004944861111111111,-0.3256823135320743
-0.004943611111111111,-0.3368050647475909
-0.004942361111111111,-0.3361309586133171
-0.004941111111111111,-0.3364680116804538
